Epoch,TrainLoss,ValLoss,TimeScore,MapScore
1,0.786891277551651,0.7636763680548895,0.5813782863200657,0.7480410692237672
2,0.5918160578012467,0.6897850462368557,0.644615899475794,0.7932747926503894
3,0.455494664311409,0.6216438507276868,0.6923268290739211,0.80327764839407
4,0.36699686032533646,0.563622049869053,0.7282779734759104,0.8135914804916533
5,0.3130723214149475,0.5297179572165959,0.7562172401045996,0.8231642135078945
6,0.278625723361969,0.5030186270910596,0.7650145476772672,0.8324715594450632
7,0.2512358798980713,0.47454902813548133,0.7767886176468835,0.8385788836176433
8,0.23123204803466796,0.4697597140357608,0.7814397882847559,0.840797221140256
9,0.21376381435990333,0.47838690782350207,0.7786616373156744,0.841448881086849
10,0.20007745134830474,0.4476764396069542,0.7925819747504734,0.8455666419532564
11,0.1944032818377018,0.4441873606235262,0.786860370919818,0.8457780203648976
12,0.17192954254150392,0.4406488433716789,0.7864204399169438,0.8468470575790557
13,0.15420310282707214,0.4452646748414115,0.788437305698319,0.8469430832635789
14,0.14456909665465356,0.43103805066101136,0.7914359895955949,0.8482197714703423
15,0.13848046758770943,0.43750409521753825,0.7910033310689624,0.8474885827255627
16,0.1292573398053646,0.4360507712477729,0.7949326130605879,0.8485205315408253
17,0.11839720986783504,0.4301157518038674,0.7937397207059558,0.8492842890203945
18,0.12071500232815742,0.42842649869502536,0.7963554057336989,0.850099844473695
19,0.1070150457471609,0.4268950559790172,0.7999557975738767,0.8505224849260042
20,0.10178350420296192,0.4315000394034007,0.7984939321639046,0.8492693114611838
